Job ID,Start Date,Date of Completion,Days on Job,Date invoiced,#days to inv completion,City,Job type,Invoice Amt $,PAID Y/N,AMT PAID,Insurance Y/N,Repeat Client
22SC190,8/11/2022,8/11/2022,1,09/01/22,21,San Diego,Sucidide,"$2,090.00",Y,"$2,090.00",N,
22SC191,8/11/2022,8/11/2022,1,09/06/22,26,Oceanside,Gross filth,"$4,242.45",Y,"$4,242.45",,
22SC192,8/12/2022,8/12/2022,1,9/14/22,33,Santa Ana,Biohazard clean,"$4,971.25",Y,"$4,971.25",N,
22SC193,8/15/2022,8/15/2022,1,09/01/22,17,Glendora,Car bio clean,"$2,015.61",Y,"$2,015.61",N,
22SC194,8/16/2022,8/21/2022,4,09/26/22,36,Apple Valley,Decomp,"$25,000.00",Y,"$25,000.00",Y,
22SC195,8/16/2022,8/18/2022,3,09/29/22,42,Blythe,Blood cleanup,"$23,602.24",P,"$13,602.24",Y,
22SC196,,,0,,,Blythe,Interior House,"$10,616.52",N,,N,
22SC197,8/17/2022,8/17/2022,1,09/13/22,27,Lake Forest,Blood cleanup-car,"$1,589.80",Y,"$1,589.80",N,
22SC198,8/18/2022,8/18/2022,1,10/7/22,50,Ontario,Decomp,"$27,910.50",Y,"$27,910.50",Y,
22SC199,8/18/2022,8/18/2022,1,9/6/22,19,Sun Valley,Feces,$848.75,Y,$848.75,N,Repeat Client
22SC200,8/19/2022,8/20/2022,2,08/23/22,3,Murrieta,Decomp,"$4,796.19",Y,"$4,796.19",N,
22SC201,8/20/2022,8/20/2022,1,08/29/22,9,Burbank,Gross filth,"$4,905.04",Y,"$4,905.04",N,Repeat Client
22SC202,8/20/2022,8/20/2022,1,08/26/22,6,Loma Linda,Decomp,"$3,089.75",Y,"$3,089.75",N,Repeat Client
22SC203,8/22/2022,8/23/2022,2,09/27/22,35,Brea,Decomp,"$20,170.58",Y,"$20,170.58",Y,
22SC204,8/23/2022,8/24/2022,2,09/13/22,20,El Cajon,Homicide,"$13,523.76",Y,"$13,523.76",N,
22SC205,8/24/2022,8/24/2022,1,08/25/22,1,Rancho Mirage,Blood cleanup,"$2,090.00",Y,"$2,090.00",N,
22SC206,8/25/2022,8/25/2022,1,09/13/22,19,Temecula,Rodent feces,"$1,881.00",N,"$1,881.00",N,
22SC207,8/26/2022,8/30/2022,3,9/17/22,18,Porter Ranch,Rat ,"$16,816.01",Y,"$16,816.01",N,
22SC208,8/26/2022,9/1/2022,5,09/23/22,22,Oceanside,Decomp,"$21,651.66",Y,"$21,651.66",Y,
22SC209,8/30/2022,8/30/2022,1,09/30/22,31,Torrance,Blood cleanup,"$8,096.51",Y,"$8,096.51",Y,
22SC210,8/30/2022,8/30/2022,1,09/01/22,2,Cerritos,Trash bin clean,$745.45,Y,$745.45,N,
22SC211,8/30/2022,8/30/2022,1,09/14/22,15,Glendale,Sewage,"$1,737.51",Y,"$1,737.51",,
22SC212,8/31/2022,8/31/2022,1,9/14/22,14,Los Angeles,Blood cleanup,"$1,513.42",P,$500.00,,
22SC213,9/1/2022,9/2/2022,2,9/14/22,12,National City,Transient camp,"$5,741.65",Y,"$5,741.65",N,
22SC214,9/1/2022,9/1/2022,1,09/12/22,11,Escondido,Transient camp,"$2,922.36",Y,"$2,922.36",N,Repeat Client
22SC215,9/1/2022,9/1/2022,1,09/12/22,11,Sun Valley,Netflix feces,$916.84,Y,$916.84,N,Repeat Client
